ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-3.52679e-05,-7.32028e-06,-2.26234e-05,-6.38061e-06,7.32955e-06,-9.85614e-06,1.81002e-05,-3.82105e-06,0
-3.40905e-05,-5.92817e-06,-1.81535e-05,-8.60207e-06,6.52186e-06,-9.12519e-06,1.65011e-05,-5.58299e-06,0
-3.26338e-05,-4.01401e-06,-1.56236e-05,-1.03314e-05,7.04828e-06,-8.0448e-06,1.95294e-05,-7.09451e-06,0
-3.1666e-05,-1.22165e-06,-1.53178e-05,-1.13173e-05,7.31204e-06,-7.25274e-06,2.51695e-05,-7.66257e-06,0
-3.18791e-05,9.90537e-08,-1.42853e-05,-1.16726e-05,8.06966e-06,-7.17489e-06,2.88695e-05,-8.23161e-06,0
-3.18795e-05,-4.2139e-07,-1.14313e-05,-1.02818e-05,1.20769e-05,-6.91239e-06,2.8246e-05,-8.82952e-06,0
-3.08435e-05,1.89065e-07,-9.39371e-06,-9.01524e-06,1.9603e-05,-6.21797e-06,2.39962e-05,-9.19145e-06,0
-2.92136e-05,3.25263e-06,-1.00854e-05,-7.82441e-06,2.47969e-05,-4.52094e-06,1.83436e-05,-8.21546e-06,0
-2.85083e-05,6.82651e-06,-1.12856e-05,-7.2939e-06,2.41424e-05,-3.30012e-06,1.33381e-05,-6.40506e-06,0
-2.95646e-05,8.69433e-06,-1.11782e-05,-5.36673e-06,2.01335e-05,-3.37953e-06,8.20371e-06,-3.56967e-06,0
-3.13366e-05,8.89991e-06,-8.79016e-06,-2.22778e-06,1.44197e-05,-3.3135e-06,1.35593e-06,-2.70299e-07,0
-3.22675e-05,9.13469e-06,-5.1889e-06,-6.85024e-08,7.27182e-06,-2.57552e-06,-4.02615e-06,1.0518e-06,0
-3.17957e-05,1.02707e-05,-2.91312e-06,7.34643e-07,1.77221e-06,-2.46244e-06,-6.11101e-06,-4.2456e-07,0
-3.09478e-05,1.23157e-05,-2.27961e-06,9.74387e-07,2.1884e-06,-2.92411e-06,-6.19818e-06,-2.12223e-06,0
-2.98374e-05,1.34167e-05,-2.86889e-06,4.77308e-07,6.93137e-06,-3.89056e-06,-4.13378e-06,-1.72752e-06,0
-2.87069e-05,1.13735e-05,-3.84867e-06,-3.73198e-07,9.12163e-06,-5.04547e-06,1.16516e-06,-1.54448e-07,0
-2.83247e-05,7.56027e-06,-4.13948e-06,-3.08123e-07,5.6394e-06,-5.60671e-06,6.65291e-06,9.65214e-07,0
-2.83095e-05,5.36593e-06,-3.76156e-06,-1.0974e-08,1.75203e-06,-6.69196e-06,9.63318e-06,1.81928e-06,0
-2.75631e-05,5.7441e-06,-3.80784e-06,-1.40142e-06,5.80953e-07,-8.90285e-06,1.07101e-05,3.60041e-06,0
-2.56635e-05,6.60041e-06,-2.93239e-06,-5.56699e-06,7.77034e-07,-1.07786e-05,1.1631e-05,4.9547e-06,0
-2.36302e-05,6.02502e-06,-2.09058e-06,-1.07885e-05,1.00965e-06,-9.87e-06,1.29848e-05,3.81866e-06,0
-2.38512e-05,4.61951e-06,-3.09671e-06,-1.54081e-05,1.98539e-06,-8.04457e-06,1.45485e-05,2.30496e-06,0
-2.60584e-05,3.86527e-06,-4.15929e-06,-2.05326e-05,2.9331e-06,-7.46844e-06,1.64347e-05,3.72037e-06,0
-2.87729e-05,4.67576e-06,-3.40579e-06,-2.71368e-05,1.97503e-06,-8.29959e-06,1.82677e-05,4.41286e-06,0
-2.99131e-05,4.62689e-06,-2.35827e-06,-2.64424e-05,2.26381e-06,-9.52565e-06,1.84893e-05,2.84163e-06,0
-3.07024e-05,3.54201e-06,-3.38288e-06,-1.58619e-05,4.21851e-06,-9.34272e-06,1.61239e-05,2.48341e-06,0
-3.23393e-05,4.78116e-06,-5.18186e-06,-3.41281e-06,6.21463e-06,-7.80405e-06,1.41759e-05,2.07577e-06,0
-3.1532e-05,6.2949e-06,-6.08822e-06,6.70221e-06,7.45854e-06,-6.69235e-06,1.24059e-05,1.26749e-06,0
-2.91045e-05,5.43446e-06,-6.10066e-06,1.34089e-05,6.39473e-06,-5.75132e-06,9.64985e-06,1.86785e-06,0
-2.82657e-05,3.02369e-06,-6.34435e-06,1.61608e-05,5.33767e-06,-4.8734e-06,7.10849e-06,2.46153e-06,0
-2.96592e-05,1.98873e-06,-6.80027e-06,1.67139e-05,6.25473e-06,-4.89453e-06,6.28451e-06,7.70374e-07,0
-3.11203e-05,4.29276e-06,-7.05453e-06,1.43973e-05,7.43576e-06,-5.65181e-06,7.72126e-06,-2.32044e-06,0
-3.08307e-05,7.46784e-06,-7.24862e-06,6.17009e-06,6.97773e-06,-5.87001e-06,8.85422e-06,-4.10681e-06,0
-2.99042e-05,8.90447e-06,-7.53914e-06,-4.58289e-06,7.62891e-06,-6.21058e-06,8.73491e-06,-3.76682e-06,0
