ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-2.71209e-05,1.85815e-05,-5.62832e-06,-1.70581e-05,8.42935e-06,-7.76876e-06,1.25105e-05,-1.62352e-06,0
-2.71884e-05,1.67089e-05,-5.76881e-06,-2.4023e-05,4.6339e-06,-8.87428e-06,1.3733e-05,-1.17277e-06,0
-2.73608e-05,1.54645e-05,-6.28239e-06,-2.0649e-05,3.39083e-06,-1.04343e-05,1.50636e-05,6.2717e-07,0
-2.76729e-05,1.44628e-05,-6.58861e-06,-9.53012e-06,3.64003e-06,-1.36051e-05,1.73563e-05,3.44054e-06,0
-2.80853e-05,1.23906e-05,-6.2012e-06,-2.50879e-07,3.66496e-06,-1.71082e-05,1.90644e-05,4.18687e-06,0
-2.94013e-05,8.42513e-06,-6.80955e-06,3.06253e-06,4.6302e-06,-1.95932e-05,1.81616e-05,2.5653e-06,0
-3.16722e-05,4.23255e-06,-8.52911e-06,9.88824e-07,7.31534e-06,-2.1185e-05,1.55828e-05,9.84818e-07,0
-3.29236e-05,1.13414e-06,-1.04081e-05,-2.62788e-06,1.10899e-05,-2.2044e-05,1.47124e-05,1.53804e-06,0
-3.28829e-05,-3.26768e-08,-1.13842e-05,-6.36946e-06,1.44255e-05,-2.14922e-05,1.54846e-05,3.64046e-06,0
-3.20548e-05,1.20224e-07,-1.18196e-05,-1.06848e-05,1.5977e-05,-1.9974e-05,1.59172e-05,5.16515e-06,0
-3.10524e-05,-3.77713e-08,-1.21188e-05,-1.5519e-05,1.72267e-05,-1.97248e-05,1.53385e-05,4.91842e-06,0
-3.05366e-05,-6.02918e-07,-1.21013e-05,-2.01706e-05,1.88549e-05,-2.09597e-05,1.46082e-05,4.50232e-06,0
-3.00818e-05,3.82673e-07,-1.15965e-05,-2.59177e-05,2.07102e-05,-2.13563e-05,1.40894e-05,3.95271e-06,0
-2.9694e-05,3.20178e-06,-1.12721e-05,-3.11395e-05,2.18477e-05,-1.92508e-05,1.43803e-05,2.90167e-06,0
-2.96644e-05,6.41799e-06,-1.15394e-05,-3.06371e-05,2.20249e-05,-1.61851e-05,1.48691e-05,2.32854e-06,0
-2.80949e-05,7.86612e-06,-1.1485e-05,-2.33363e-05,2.11601e-05,-1.53506e-05,1.50912e-05,3.83059e-06,0
-2.61764e-05,7.12255e-06,-1.17174e-05,-1.20269e-05,1.9881e-05,-1.76499e-05,1.43821e-05,6.8435e-06,0
-2.67817e-05,6.84079e-06,-1.25192e-05,-2.57849e-06,1.92965e-05,-1.76189e-05,1.26841e-05,7.51445e-06,0
-2.88564e-05,8.8284e-06,-1.2236e-05,2.02587e-06,2.11074e-05,-1.38779e-05,8.93559e-06,5.34824e-06,0
-2.97138e-05,1.11333e-05,-9.98974e-06,9.94824e-07,2.03083e-05,-1.1356e-05,5.8437e-06,6.12779e-06,0
-2.91734e-05,1.08888e-05,-6.53627e-06,-2.10722e-06,1.6544e-05,-1.24975e-05,6.83529e-06,8.23367e-06,0
-2.8008e-05,1.12642e-05,-4.39733e-06,-3.60198e-06,1.57485e-05,-1.43628e-05,9.23342e-06,8.86601e-06,0
-2.7706e-05,1.33768e-05,-4.21661e-06,-5.54832e-06,1.7496e-05,-1.39121e-05,1.13798e-05,9.9682e-06,0
