ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-3.10262e-05,5.0067e-06,-1.90212e-05,4.06752e-06,1.31323e-05,-1.5245e-05,4.48734e-06,2.07804e-06,0
-2.93728e-05,4.37016e-06,-2.12465e-05,-2.78085e-06,9.68479e-06,-1.47772e-05,4.04076e-06,2.8713e-06,0
-2.92233e-05,3.31359e-06,-2.36095e-05,-9.1711e-06,5.60136e-06,-1.61029e-05,7.29047e-06,4.60301e-07,0
-3.05825e-05,1.45137e-06,-2.45621e-05,-1.30663e-05,2.0089e-06,-1.8615e-05,1.3152e-05,-3.07925e-06,0
-3.162e-05,-2.73434e-06,-2.38057e-05,-1.48606e-05,-6.90709e-07,-1.97731e-05,1.70235e-05,-6.64255e-06,0
-3.2524e-05,-8.54146e-06,-2.33298e-05,-1.58732e-05,-3.57196e-06,-1.87537e-05,1.81327e-05,-7.63447e-06,0
-3.25849e-05,-1.28703e-05,-2.11716e-05,-1.4968e-05,-6.4036e-06,-1.82335e-05,1.84739e-05,-4.6536e-06,0
-3.19271e-05,-1.39682e-05,-1.90192e-05,-1.20159e-05,-7.21132e-06,-1.96197e-05,1.80884e-05,-1.95212e-06,0
-3.20486e-05,-1.29658e-05,-2.0005e-05,-8.49846e-06,-5.7202e-06,-2.09797e-05,1.5702e-05,-2.96908e-06,0
-3.11865e-05,-1.22088e-05,-2.11679e-05,-7.22779e-06,-3.93455e-06,-2.02358e-05,1.28495e-05,-4.49202e-06,0
-2.92172e-05,-1.09853e-05,-2.15352e-05,-7.37995e-06,-2.20293e-06,-1.96665e-05,1.28902e-05,-6.08301e-06,0
-2.8477e-05,-8.57271e-06,-2.05658e-05,-3.50471e-06,1.47251e-06,-1.90717e-05,1.34974e-05,-7.10829e-06,0
-2.98759e-05,-6.60915e-06,-1.89489e-05,7.20087e-06,6.32767e-06,-1.75784e-05,1.26606e-05,-6.58785e-06,0
-3.07305e-05,-4.37477e-06,-1.66925e-05,2.26574e-05,1.25905e-05,-1.59754e-05,1.02439e-05,-7.89353e-06,0
-3.06231e-05,-7.11364e-07,-1.42915e-05,3.77627e-05,1.8531e-05,-1.55103e-05,7.62049e-06,-9.42322e-06,0
-3.00259e-05,3.45151e-06,-1.20095e-05,4.56129e-05,1.99028e-05,-1.67741e-05,6.41287e-06,-8.41186e-06,0
-2.84443e-05,6.37224e-06,-9.62314e-06,4.29678e-05,1.86891e-05,-1.85917e-05,6.04973e-06,-5.71448e-06,0
-2.68955e-05,8.46404e-06,-6.89392e-06,3.12249e-05,1.85887e-05,-1.80118e-05,5.63387e-06,-4.02129e-06,0
-2.65875e-05,1.14346e-05,-4.17677e-06,1.48115e-05,1.96208e-05,-1.54514e-05,5.19925e-06,-4.89061e-06,0
-2.67829e-05,1.44779e-05,-2.8503e-06,-6.48877e-07,1.92093e-05,-1.40647e-05,5.31929e-06,-6.8337e-06,0
-2.6046e-05,1.3759e-05,-3.72034e-06,-7.2694e-06,1.89542e-05,-1.28911e-05,4.30282e-06,-7.85759e-06,0
