ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-2.58217e-05,1.21476e-05,-1.6955e-06,2.30411e-06,1.01053e-05,-4.54539e-06,1.30804e-05,-4.16089e-06,0
-2.51484e-05,1.44982e-05,-1.44479e-06,-1.57334e-07,1.1298e-05,-7.50885e-06,1.1785e-05,-2.47015e-06,0
-2.60543e-05,1.64921e-05,-2.11028e-06,-3.79137e-06,1.21616e-05,-9.36644e-06,1.12348e-05,-2.39349e-06,0
-2.64626e-05,1.70565e-05,-3.14278e-06,-6.93329e-06,1.26107e-05,-9.21882e-06,1.19981e-05,-2.76894e-06,0
-2.59392e-05,1.77739e-05,-3.15929e-06,-7.89903e-06,1.13966e-05,-7.00472e-06,1.4959e-05,-1.63293e-06,0
-2.50319e-05,1.75494e-05,-2.59831e-06,-7.23258e-06,1.05183e-05,-4.00519e-06,1.87056e-05,5.00132e-08,0
-2.48929e-05,1.54561e-05,-3.08631e-06,-8.10392e-06,9.57645e-06,-2.45161e-06,2.11478e-05,4.78356e-07,0
-2.5399e-05,1.24357e-05,-4.58862e-06,-9.69538e-06,8.77785e-06,-2.52639e-06,2.05862e-05,3.95353e-09,0
-2.7945e-05,1.05419e-05,-6.04045e-06,-1.15622e-05,9.54412e-06,-1.98273e-06,1.79929e-05,-1.10483e-06,0
-2.98764e-05,9.62245e-06,-6.40593e-06,-1.61829e-05,1.0739e-05,-2.8288e-07,1.59573e-05,-1.74717e-06,0
-3.00186e-05,9.94633e-06,-5.8373e-06,-2.49835e-05,1.1331e-05,-9.45571e-08,1.46286e-05,-2.27308e-06,0
-3.06063e-05,1.02504e-05,-5.53638e-06,-3.25749e-05,1.24953e-05,-1.45578e-06,1.03905e-05,-2.38343e-06,0
-3.19821e-05,1.03977e-05,-5.7241e-06,-3.13115e-05,1.3469e-05,-2.7531e-06,3.11355e-06,-5.58308e-07,0
-3.35159e-05,1.19792e-05,-6.07778e-06,-1.9606e-05,1.33228e-05,-3.39516e-06,-2.34126e-06,2.53135e-06,0
-3.3919e-05,1.42329e-05,-6.47048e-06,-2.57784e-06,1.24945e-05,-3.78843e-06,-2.17592e-06,4.67954e-06,0
-3.34909e-05,1.41984e-05,-7.04008e-06,1.37893e-05,1.16369e-05,-3.85967e-06,1.77366e-06,4.34879e-06,0
-3.22207e-05,1.27695e-05,-7.20617e-06,2.6233e-05,1.08622e-05,-4.65826e-06,6.03981e-06,3.40702e-06,0
-3.09571e-05,1.24221e-05,-6.97409e-06,3.35161e-05,9.01914e-06,-6.98736e-06,8.23339e-06,2.6693e-06,0
-3.02281e-05,1.19083e-05,-6.89785e-06,3.4196e-05,6.23177e-06,-9.96513e-06,8.15556e-06,1.02638e-06,0
-3.1118e-05,1.13829e-05,-7.41386e-06,2.73617e-05,4.73802e-06,-1.16176e-05,7.80737e-06,-2.16521e-07,0
-3.21902e-05,1.1286e-05,-7.573e-06,1.62053e-05,6.48351e-06,-1.15581e-05,7.5016e-06,1.03616e-06,0
-3.24196e-05,1.15473e-05,-7.94782e-06,5.07368e-06,8.53003e-06,-1.05068e-05,1.09345e-05,3.01785e-06,0
-3.24153e-05,1.32301e-05,-8.84675e-06,-4.44739e-06,8.60997e-06,-9.26167e-06,2.26877e-05,2.73066e-06,0
-3.29736e-05,1.6566e-05,-9.97443e-06,-1.16147e-05,8.81403e-06,-9.50209e-06,3.72572e-05,2.64269e-06,0
-3.21852e-05,1.97208e-05,-1.16571e-05,-1.74099e-05,1.48421e-05,-9.75962e-06,4.66409e-05,2.74806e-06,0
