ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-2.73796e-05,8.39762e-06,-5.77848e-06,1.12954e-05,8.94237e-06,-5.54688e-06,2.10297e-05,-3.20755e-06,0
-2.6401e-05,6.68489e-06,-5.29851e-06,4.59014e-05,1.2121e-05,-7.1383e-06,2.25445e-05,-5.15651e-06,0
-2.66355e-05,4.64877e-06,-4.10142e-06,6.87704e-05,1.61115e-05,-7.99703e-06,2.41082e-05,-5.32706e-06,0
-2.7784e-05,2.1232e-06,-2.74278e-06,7.35744e-05,1.83093e-05,-7.2549e-06,2.45619e-05,-4.87428e-06,0
-2.98989e-05,8.1246e-07,-9.6984e-07,5.81643e-05,1.93756e-05,-5.24842e-06,2.48198e-05,-3.91865e-06,0
-2.9657e-05,7.03681e-07,3.47373e-07,3.32045e-05,2.05905e-05,-4.36599e-06,2.67466e-05,-2.57138e-06,0
-2.67793e-05,-4.71001e-07,-1.24157e-06,6.19873e-06,2.17559e-05,-4.85695e-06,2.80298e-05,-1.83492e-06,0
-2.55164e-05,-3.49171e-06,-4.55045e-06,-2.13124e-05,2.25118e-05,-6.32389e-06,2.82268e-05,-2.24395e-06,0
-2.70467e-05,-7.98927e-06,-5.65273e-06,-3.92093e-05,2.17352e-05,-7.40572e-06,2.82403e-05,-3.32301e-06,0
-2.90569e-05,-1.21739e-05,-5.13534e-06,-3.68941e-05,2.01559e-05,-8.54408e-06,2.83316e-05,-4.56142e-06,0
-2.96656e-05,-1.49592e-05,-5.63136e-06,-2.14681e-05,1.92853e-05,-9.8309e-06,2.71798e-05,-5.78538e-06,0
-2.98741e-05,-1.74223e-05,-6.68406e-06,-6.70126e-06,1.85999e-05,-1.0506e-05,2.51029e-05,-5.72585e-06,0
-3.05478e-05,-1.90294e-05,-6.57059e-06,-1.02396e-06,1.66685e-05,-1.08131e-05,2.3383e-05,-4.52353e-06,0
-3.23472e-05,-1.89719e-05,-5.39023e-06,-3.04178e-06,1.36835e-05,-1.23659e-05,2.25608e-05,-3.6653e-06,0
-3.41143e-05,-1.74073e-05,-5.18648e-06,-6.0775e-06,1.26397e-05,-1.44615e-05,2.19838e-05,-3.51335e-06,0
-3.49234e-05,-1.46723e-05,-6.39828e-06,-6.67992e-06,1.32898e-05,-1.45825e-05,2.04485e-05,-3.41514e-06,0
-3.43209e-05,-1.18364e-05,-8.087e-06,-6.83887e-06,1.40269e-05,-1.30517e-05,1.80945e-05,-3.19504e-06,0
-3.38217e-05,-1.03362e-05,-9.16698e-06,-6.43406e-06,1.35013e-05,-1.15921e-05,1.55118e-05,-3.72349e-06,0
-3.4169e-05,-1.04101e-05,-8.80434e-06,-2.68383e-06,1.40656e-05,-1.06899e-05,1.29711e-05,-4.18319e-06,0
-3.47775e-05,-1.10669e-05,-5.96923e-06,3.93327e-06,1.61339e-05,-1.07663e-05,1.15635e-05,-2.99638e-06,0
-3.33244e-05,-1.21067e-05,-2.56285e-06,1.15221e-05,1.8232e-05,-1.16175e-05,1.1667e-05,-4.6358e-07,0
-3.08344e-05,-1.25873e-05,-8.96617e-07,1.76833e-05,1.86711e-05,-1.09975e-05,1.08346e-05,1.10144e-06,0
-3.06191e-05,-1.12538e-05,-3.47253e-07,2.05739e-05,1.66674e-05,-9.6509e-06,9.92337e-06,3.44122e-07,0
-3.18884e-05,-7.24172e-06,-1.28138e-06,1.67362e-05,1.50388e-05,-9.35966e-06,1.02955e-05,-9.3334e-07,0
-3.28545e-05,-1.12407e-06,-3.40601e-06,4.61918e-06,1.53871e-05,-7.98658e-06,1.1944e-05,-8.02029e-07,0
-3.29045e-05,2.10588e-06,-5.48959e-06,-8.56608e-06,1.42419e-05,-5.75388e-06,1.31928e-05,4.31368e-07,0
-3.20422e-05,2.10133e-06,-6.87421e-06,-1.51186e-05,1.00737e-05,-5.75336e-06,1.26354e-05,6.47006e-07,0
-3.03177e-05,2.45208e-06,-7.41357e-06,-1.62603e-05,8.44176e-06,-5.93796e-06,1.14075e-05,-4.08521e-07,0
-2.92343e-05,4.43905e-06,-8.25707e-06,-1.64674e-05,1.05979e-05,-4.48603e-06,1.0677e-05,-1.49077e-06,0
-2.95662e-05,6.7439e-06,-9.47277e-06,-1.94429e-05,1.26314e-05,-3.09137e-06,9.6256e-06,-2.02239e-06,0
-3.06494e-05,8.22798e-06,-1.05588e-05,-2.35815e-05,1.08502e-05,-4.49852e-06,7.22646e-06,-2.27699e-06,0
-3.24233e-05,8.69307e-06,-1.1707e-05,-2.49694e-05,7.27403e-06,-6.65117e-06,6.31446e-06,-3.63627e-06,0
-3.36792e-05,8.50166e-06,-1.32063e-05,-2.23445e-05,5.47252e-06,-6.26968e-06,7.90938e-06,-4.68508e-06,0
-3.26472e-05,8.52103e-06,-1.45668e-05,-1.61129e-05,5.71803e-06,-3.6997e-06,9.68904e-06,-3.98553e-06,0
-3.07422e-05,8.43326e-06,-1.52692e-05,-6.76396e-06,6.40409e-06,-1.30211e-06,1.3751e-05,-2.19555e-06,0
-2.88602e-05,8.89557e-06,-1.44619e-05,6.93006e-06,6.52172e-06,-1.08307e-06,2.46441e-05,-1.31446e-06,0
-2.7939e-05,9.70622e-06,-1.21184e-05,2.1849e-05,6.85182e-06,-2.19507e-06,3.88841e-05,-1.38056e-06,0
-2.88175e-05,1.04716e-05,-1.02184e-05,2.99137e-05,7.58431e-06,-4.43716e-06,4.74346e-05,-5.76583e-07,0
-3.06626e-05,9.60463e-06,-9.80191e-06,2.61566e-05,8.52772e-06,-7.70127e-06,4.68998e-05,3.53697e-07,0
-3.1924e-05,6.64572e-06,-1.08892e-05,1.62081e-05,9.42303e-06,-1.00438e-05,3.83399e-05,6.44962e-07,0
-3.18142e-05,3.68427e-06,-1.21679e-05,9.79533e-06,1.08635e-05,-9.28302e-06,2.35516e-05,2.11351e-06,0
-3.06755e-05,3.44387e-06,-1.15028e-05,9.17368e-06,1.29972e-05,-6.89521e-06,4.99463e-06,6.01489e-06,0
-2.89161e-05,6.32656e-06,-8.67143e-06,9.22264e-06,1.57285e-05,-5.01086e-06,-1.51542e-05,8.76732e-06,0
-2.78088e-05,1.10866e-05,-5.55459e-06,7.7622e-06,1.88201e-05,-5.03302e-06,-3.46262e-05,7.73765e-06,0
-2.71894e-05,1.50774e-05,-2.41919e-06,7.32593e-06,2.00889e-05,-6.8411e-06,-4.76876e-05,5.04626e-06,0
-2.73157e-05,1.45215e-05,-5.88315e-07,6.18799e-06,1.74164e-05,-9.67476e-06,-4.80416e-05,3.24165e-06,0
-2.78326e-05,9.12656e-06,-1.19889e-06,2.96011e-06,1.42863e-05,-1.08676e-05,-3.82408e-05,2.3985e-06,0
-2.753e-05,3.18826e-06,-2.92052e-06,-1.04902e-06,1.56287e-05,-8.94915e-06,-2.65408e-05,3.0819e-06,0
-2.85697e-05,4.0191e-08,-2.98232e-06,-3.51337e-06,2.10422e-05,-6.74011e-06,-1.69379e-05,4.43031e-06,0
-3.04505e-05,1.0016e-06,-1.11595e-06,-2.49812e-06,2.63094e-05,-5.20621e-06,-8.31394e-06,5.35772e-06,0
-3.06268e-05,7.24395e-06,-1.32271e-06,-1.38194e-06,2.53528e-05,-4.91694e-06,3.29942e-07,6.50011e-06,0
-2.99609e-05,1.6219e-05,-3.24561e-06,-2.66205e-06,1.99236e-05,-4.31228e-06,6.33528e-06,5.93122e-06,0
-2.93263e-05,2.35872e-05,-5.94979e-06,-1.31866e-06,1.50658e-05,-4.11711e-06,9.26414e-06,5.42628e-06,0
-2.92811e-05,2.43886e-05,-9.72313e-06,1.27006e-06,1.17703e-05,-4.75449e-06,1.16067e-05,5.1576e-06,0
-3.03585e-05,2.00149e-05,-1.17458e-05,4.19443e-07,1.04755e-05,-5.34276e-06,1.41912e-05,3.77803e-06,0
-3.30366e-05,1.50834e-05,-1.37571e-05,-2.23358e-06,8.51049e-06,-5.16002e-06,1.75707e-05,3.73772e-06,0
-3.4927e-05,1.39037e-05,-1.8137e-05,-5.60332e-06,6.60383e-06,-4.6446e-06,2.136e-05,3.26233e-06,0
-3.49893e-05,1.48577e-05,-2.07979e-05,-8.5564e-06,6.41629e-06,-4.8843e-06,2.33246e-05,1.02429e-06,0
-3.59154e-05,1.52154e-05,-2.05275e-05,-1.08005e-05,8.20826e-06,-4.42619e-06,2.21781e-05,-7.63958e-07,0
-3.68102e-05,1.67309e-05,-1.89284e-05,-1.28979e-05,9.33056e-06,-4.0254e-06,2.05315e-05,-1.71075e-06,0
